时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2010-01-04 16:00:00,-1.13,0,0,0,0,0
2010-01-05 16:00:00,-0.33,0,0,0,0,0
2010-01-06 16:00:00,-0.95,0,0,0,0,0
2010-01-07 16:00:00,-2.91,0,0,0,0,0
2010-01-08 16:00:00,-2.67,0,0,0,0,0
2010-01-11 16:00:00,-2.62,0,0,0,0,0
2010-01-12 16:00:00,-1.14,0,0,0,0,0
2010-01-13 16:00:00,-4.32,0,0,0,0,0
2010-01-14 16:00:00,-2.98,0,0,0,0,0
2010-01-15 16:00:00,-2.6,0,0,0,0,0
2010-01-18 16:00:00,-2.1,0,0,0,0,0
2010-01-19 16:00:00,-1.91,0,0,0,0,0
2010-01-20 16:00:00,-5.07,0,0,0,0,0
2010-01-21 16:00:00,-4.67,0,0,0,0,0
2010-01-22 16:00:00,-5.86,0,0,0,0,0
2010-01-25 16:00:00,-6.93,0,0,0,0,0
2010-01-26 16:00:00,-9.31,0,0,0,0,0
2010-01-27 16:00:00,-10.55,0,0,0,0,0
2010-01-28 16:00:00,-10.32,0,0,0,0,0
2010-01-29 16:00:00,-10.39,0,0,0,0,0
2010-02-01 16:00:00,-11.83,0,0,0,0,0
2010-02-02 16:00:00,-12.01,0,0,0,0,0
2010-02-03 16:00:00,-9.65,0,0,0,0,0
2010-02-04 16:00:00,-9.98,0,0,0,0,0
2010-02-05 16:00:00,-11.82,0,0,0,0,0
2010-02-08 16:00:00,-11.88,0,0,0,0,0
2010-02-09 16:00:00,-11.37,0,0,0,0,0
2010-02-10 16:00:00,-10.11,0,0,0,0,0
2010-02-11 16:00:00,-9.94,0,0,0,0,0
2010-02-12 16:00:00,-9.07,0,0,0,0,0
2010-02-22 16:00:00,-9.57,0,0,0,0,0
2010-02-23 16:00:00,-10.54,0,0,0,0,0
2010-02-24 16:00:00,-9.26,0,0,0,0,0
2010-02-25 16:00:00,-7.93,0,0,0,0,0
2010-02-26 16:00:00,-8.22,0,0,0,0,0
2010-03-01 16:00:00,-7.03,0,0,0,0,0
2010-03-02 16:00:00,-7.4,0,0,0,0,0
2010-03-03 16:00:00,-6.73,0,0,0,0,0
2010-03-04 16:00:00,-9.09,0,0,0,0,0
2010-03-05 16:00:00,-8.84,0,0,0,0,0
2010-03-08 16:00:00,-8.1,0,0,0,0,0
2010-03-09 16:00:00,-7.55,0,0,0,0,0
2010-03-10 16:00:00,-8.28,0,0,0,0,0
2010-03-11 16:00:00,-8.36,0,0,0,0,0
2010-03-12 16:00:00,-9.58,-0.37,0,-365.21,97368,0
2010-03-15 16:00:00,-10.98,-1.39,0,-1028.07,0,-32362
2010-03-16 16:00:00,-10.4,-0.43,961.92,0,8910,-38520
2010-03-17 16:00:00,-8.44,0.87,1303.48,0,51748,0
2010-03-18 16:00:00,-8.62,2.14,1263.49,0,0,-50391
2010-03-19 16:00:00,-7.88,3.37,1233,0,0,0
2010-03-22 16:00:00,-7.64,2.85,0,-522,0,0
2010-03-23 16:00:00,-8.39,0.92,0,-1925.48,48267,0
2010-03-24 16:00:00,-8.36,1.45,524.2,0,0,-46770
2010-03-25 16:00:00,-9.69,-1.21,0,-2651.72,45733,0
2010-03-26 16:00:00,-8.41,-1.4,0,-190.29,0,-66290
2010-03-29 16:00:00,-6.07,-1.17,231.34,0,75527,0
2010-03-30 16:00:00,-5.84,-1.62,0,-454.34,0,-30260
2010-03-31 16:00:00,-6.43,-1.76,0,-141.2,0,-5196
2010-04-01 16:00:00,-5.14,-0.83,929,0,3456,0
2010-04-02 16:00:00,-4.71,-0.57,262,0,0,0
2010-04-06 16:00:00,-4.77,0.28,847,0,0,0
2010-04-07 16:00:00,-5.28,1.31,1031,0,19393,0
2010-04-08 16:00:00,-6.4,0.86,0,-446,3224,0
2010-04-09 16:00:00,-5.5,1.74,881.43,0,0,-1574
2010-04-12 16:00:00,-6.27,2.81,1064,0,0,0
2010-04-13 16:00:00,-5.14,-1.46,0,-4264,0,0
2010-04-14 16:00:00,-4.81,-1.44,21.11,0,0,-17889
2010-04-15 16:00:00,-5.07,-2.89,0,-1459.27,27557,0
2010-04-16 16:00:00,-6.13,-3.66,0,-761.81,0,-26775
2010-04-19 16:00:00,-11.17,-5.93,0,-2271.9,26350,0
2010-04-20 16:00:00,-11.25,-3.87,2063,0,0,0
2010-04-21 16:00:00,-9.48,-1.28,2585,0,0,0
2010-04-22 16:00:00,-10.46,-0.36,917,0,6369,0
2010-04-23 16:00:00,-10.79,-1.34,0,-980.53,0,-6531
2010-04-26 16:00:00,-11.29,1.2,2542.71,0,0,-13285
